Internal Flow Diameter ,Length              ,Pressure Drop
  0.01                 ,6.181864222028081   ,167725420910.64658
  0.02                 ,4.539591473168312   ,  9265342713.024443
  0.03                 ,3.5603719277754347  ,  1530097655.9557076
  0.04                 ,2.911440047823305   ,   415288868.3389873
  0.05                 ,2.450912752585978   ,   149346685.5578321
  0.060000000000000005 ,2.1079956404771227  ,    64374654.3409502
  0.06999999999999999  ,1.8434063644596     ,    31487639.16696242
  0.08                 ,1.6335959670025155  ,    16907274.289687976
  0.09                 ,1.463589207198369   ,     9752859.795723673
  0.09999999999999999  ,1.3234086609388926  ,     5954677.512719189
  0.11                 ,1.206150740297958   ,     3807313.4675036804
  0.12                 ,1.1068869367626786  ,     2529150.8639698196
  0.13                 ,1.022004890718896   ,     1735020.3949414378
  0.14                 ,0.9487967326583352  ,     1223384.40129823
  0.15000000000000002  ,0.8851928147329045  ,      883331.1917326748
  0.16                 ,0.829584258589086   ,      651136.4629781843
  0.17                 ,0.7807015790594735  ,      488799.3808417093
  0.18000000000000002  ,0.7375297461948729  ,      372910.7679084663
  0.19                 ,0.6992475327737226  ,      288631.766037606
  0.2                  ,0.6651834157738866  ,      226314.33740309073
  0.21000000000000002  ,0.6347829907889168  ,      179541.52354545385
  0.22                 ,0.607584539502741   ,      143957.42955049963
  0.23                 ,0.5832004660092145  ,      116550.20309391698
  0.24000000000000002  ,0.5613030209341131  ,       95202.13871413574
  0.25                 ,0.5416132010019318  ,       78401.28752510078
  0.26                 ,0.5238920296641384  ,       65052.95575086002
  0.27                 ,0.5079336436573622  ,       54354.27615607476
  0.28                 ,0.4935597638087546  ,       45709.368884096206
  0.29000000000000004  ,0.480615237285967   ,       38671.08296988291
  0.3                  ,0.4689644167335767  ,       32900.42749174944
  0.31                 ,0.458488198633376   ,       28137.95232248868
  0.32                 ,0.4490815850541214  ,       24183.313656752693
  0.33                 ,0.4406516640237297  ,       20880.51845052328
  0.34                 ,0.4331159270537672  ,       18107.156866040306
  0.35000000000000003  ,0.4264008599734022  ,       15766.467035912085
  0.36000000000000004  ,0.42044075668034486 ,       13781.43274450594
  0.37                 ,0.4151767157611868  ,       12090.35481672106
  0.38                 ,0.41055578794964165 ,       10643.500868063791
  0.39                 ,0.4065302486467771  ,        9400.551118603418
  0.4                  ,0.40305697464175944 ,        8328.636791688077
  0.41000000000000003  ,0.4000969080569777  ,        7400.823120860813
  0.42000000000000004  ,0.3976145936316932  ,        6594.928442236496
  0.43                 ,0.39557777793036003 ,        5892.599146555014
  0.44                 ,0.3939570610499993  ,        5278.580732686933
  0.45                 ,0.39272559300851145 ,        4740.140128339709
  0.46                 ,0.39185880830197456 ,        4266.6054091105525
  0.47000000000000003  ,0.3913341931854199  ,        3848.997162769797
  0.48000000000000004  ,0.3911310811063271  ,        3479.73179416576
  0.49                 ,0.391230472440858   ,        3152.381603970982
  0.5                  ,0.39161487527940164 ,        2861.4799005890786
  0.51                 ,0.39226816450393076 ,        2602.362007003285
  0.52                 ,0.3931754568138325  ,        2371.035012682452
  0.53                 ,0.3943229997043856  ,        2164.0706482640257
  0.54                 ,0.395698072695177   ,        1978.516840645344
  0.55                 ,0.39728889935443895 ,        1811.8244221528953
  0.56                 ,0.39908456887781857 ,        1661.786182146477
  0.5700000000000001   ,0.40107496616335236 ,        1526.486009655877
  0.5800000000000001   ,0.4032507094843612  ,        1404.2563168241584
  0.59                 ,0.405603095003893   ,        1293.6422818757405
  0.6                  ,0.4081240475031806  ,        1193.3717274911808
  0.61                 ,0.41080607681735    ,        1102.3296715194717
  0.62                 ,0.41364223958981006 ,        1019.5367639491914
  0.63                 ,0.4166261060790503  ,         944.1309663132511
  0.64                 ,0.41975173188684045 ,         875.3519444566666
  0.65                 ,0.4230136346378502  ,         812.5277384977977
  0.66                 ,0.4264067758471613  ,         755.0633492814349
  0.67                 ,0.4299265484960275  ,         702.4309421324853
  0.68                 ,0.43356877125221405 ,         654.1614190149419
  0.6900000000000001   ,0.43732969091738044 ,         609.8371514553603
  0.7000000000000001   ,0.4412059957455011  ,         569.0857005310709
  0.7100000000000001   ,0.4451948441242954  ,         531.5743782293289
  0.72                 ,0.4492939165426922  ,         497.00552765825466
  0.73                 ,0.45350150564339237 ,         465.112418820221
  0.74                 ,0.45781667432936757 ,         435.6556726576981
  0.75                 ,0.462239549943173   ,         408.4201394278646
  0.76                 ,0.4667719374275038  ,         383.2121686237561
  0.77                 ,0.47141890611766146 ,         359.85721701699754
  0.78                 ,0.47619639291596527 ,         338.19774926074564
  0.79                 ,                    ,         318.09139211518436
  0.8                  ,                    ,         299.40930894997155
  0.81                 ,                    ,         282.03476590953716
  0.8200000000000001   ,                    ,         265.8618651391517
  0.8300000000000001   ,                    ,         250.79442387877089
  0.8400000000000001   ,                    ,         236.74498113435925
